persentase_penduduk_miskin_tahun sebelumnya,id,kode_provinsi,nama_provinsi,jumlah_penduduk,persentase_penduduk_miskin,satuan,tahun,zakat terkumpul,penyaluran ke ekonomi,penyaluran ke fakir miskin
"6,16",510,36,BANTEN,12307730,"6,17",PERSEN,2023,136071457050,2028373368 ,104393425881
"4,57",511,51,BALI,4404260,"4,25",PERSEN,2023,16459789100,210155420 ,10911628788 
"13,68",512,52,NUSA TENGGARA BARAT,5560290,"13,85",PERSEN,2023,137871813161,1737558608 ,79697602963 
"20,05",513,53,NUSA TENGGARA TIMUR,5569070,"19,96",PERSEN,2023,1422135211,30000000 ,1938588258 
"6,73",514,61,KALIMANTAN BARAT,5623330,"6,71",PERSEN,2023,16223901712,185641000 ,9723719853 
"5,28",515,62,KALIMANTAN TENGAH,2773750,"5,11",PERSEN,2023,7154990371,85021128 ,4228338607 
"4,49",516,63,KALIMANTAN SELATAN,4222330,"4,29",PERSEN,2023,68666834498,538426500 ,60357345724 
"6,31",517,64,KALIMANTAN TIMUR,3909740,"6,11",PERSEN,2023,68634014460,1018773107 ,44160842861 
"6,77",518,65,KALIMANTAN UTARA,730010,"6,45",PERSEN,2023,21487944983,179438482 ,16797141528 
"7,28",519,71,SULAWESI UTARA,2681540,"7,38",PERSEN,2023,29436011707,11500000 ,1264955301 
"12,33",520,72,SULAWESI TENGAH,3086750,"12,41",PERSEN,2023,10294622278,231731500 ,7802465342 
"8,63",521,73,SULAWESI SELATAN,9362290,"8,7",PERSEN,2023,130117522147,1194703500 ,86358504737 
"11,17",522,74,SULAWESI TENGGARA,2749010,"11,43",PERSEN,2023,44674663194,102575884 ,41145117200 
"15,42",523,75,GORONTALO,1213180,"15,15",PERSEN,2023,26903391071,1031950000 ,21237465945 
"11,75",524,76,SULAWESI BARAT,1481080,"11,49",PERSEN,2023,16182193417,124507900 ,9489246079 
"15,97",525,81,MALUKU,1920460,"16,42",PERSEN,2023,10547319281,100192544 ,8188236887 
"6,23",526,82,MALUKU UTARA,1337150,"6,46",PERSEN,2023,9354696832,27695000 ,5874715744 
"21,33",527,91,PAPUA BARAT,1187270,"20,49",PERSEN,2023,599346945,0 ,419167200 
"26,56",529,94,PAPUA,4482690,"26,03",PERSEN,2023,12561912807,85622000 ,8602554325 
"14,45",533,11,ACEH,5554820,"14,23",PERSEN,2024,232.082.230.866,24436840005 ,160301508117 
"8,15",534,12,SUMATERA UTARA,15588530,"7,99",PERSEN,2024,74.404.691.859,1910211385 ,57783787120 
"5,95",535,13,SUMATERA BARAT,5836160,"5,97",PERSEN,2024,211.754.424.639,12880687095 ,138012785277 
"6,68",536,14,RIAU,6728050,"6,67",PERSEN,2024,229.771.895.025,31561955708 ,160093713235 
"7,58",537,15,JAMBI,3724280,"7,1",PERSEN,2024,67.363.981.005,1873371400 ,46991965308 
"11,78",538,16,SUMATERA SELATAN,8837300,"10,97",PERSEN,2024,53.289.561.392,5888816681 ,37190501943 
"14,04",539,17,BENGKULU,2112240,"13,56",PERSEN,2024,22.487.104.940,541749998 ,9809845405 
"11,11",540,18,LAMPUNG,9419580,"10,69",PERSEN,2024,32.691.522.026,2036383000 ,29639525705 
"4,52",541,19,KEPULAUAN BANGKA BELITUNG,1531530,"4,55",PERSEN,2024,21.286.854.769,598342802 ,9773269739 
"5,69",542,21,KEPULAUAN RIAU,2183290,"5,37",PERSEN,2024,48.444.399.421,2931980403 ,25429462600 
"4,44",543,31,DKI JAKARTA,10684950,"4,3",PERSEN,2024,321.485.117.703,7911404373 ,260795234871 
"7,62",544,32,JAWA BARAT,50345190,"7,46",PERSEN,2024,620.947.572.815,24791973801 ,452172589787 
"10,77",545,33,JAWA TENGAH,37892280,"10,47",PERSEN,2024,501.892.784.220,41894219783 ,314078027477 
"11,04",546,34,DI YOGYAKARTA,3759500,"10,83",PERSEN,2024,79.719.226.573,5846850501 ,51704731111 
"10,35",547,35,JAWA TIMUR,41814500,"9,79",PERSEN,2024,432.672.681.523,26853520445 ,355665619865 
"6,17",548,36,BANTEN,12431390,"5,84",PERSEN,2024,142.362.407.765,5307357719 ,111949881926 
"4,25",549,51,BALI,4433260,4,PERSEN,2024,39.134.195.614,499501537 ,18768616752 
"13,85",550,52,NUSA TENGGARA BARAT,5646020,"12,91",PERSEN,2024,156.206.185.882,7911167889 ,100802892980 
"19,96",551,53,NUSA TENGGARA TIMUR,5656040,"19,48",PERSEN,2024,2.140.889.000,201957487 ,1485225285 
"6,71",552,61,KALIMANTAN BARAT,5695480,"6,32",PERSEN,2024,16.924.209.748,972093222 ,11185638423 
"5,11",553,62,KALIMANTAN TENGAH,2809700,"5,17",PERSEN,2024,4.893.187.895,194806794 ,2110296037 
"4,29",554,63,KALIMANTAN SELATAN,4273400,"4,11",PERSEN,2024,75.477.216.696,2403431380 ,48675641526 
"6,11",555,64,KALIMANTAN TIMUR,4045860,"5,78",PERSEN,2024,80.525.354.108,5853751750 ,60013537540 
"6,45",556,65,KALIMANTAN UTARA,739780,"6,32",PERSEN,2024,29.137.781.677,701896000 ,19626121849 
"7,38",557,71,SULAWESI UTARA,2701780,"7,25",PERSEN,2024,3.531.415.961,132038000 ,2185052862 
"12,41",558,72,SULAWESI TENGAH,3121750,"11,77",PERSEN,2024,11.992.087.563,794386729 ,8043008319 
"8,7",559,73,SULAWESI SELATAN,9463390,"8,06",PERSEN,2024,140.703.692.267,5642637311 ,92965426379 
"11,43",560,74,SULAWESI TENGGARA,2793070,"11,21",PERSEN,2024,33.547.735.425,1247088902 ,29724061641 
"15,15",561,75,GORONTALO,1227790,"14,57",PERSEN,2024,30.315.338.134,3797736900 ,20126604427 
"11,49",562,76,SULAWESI BARAT,1503230,"11,21",PERSEN,2024,14.849.071.820,736300000 ,9604337814 
"16,42",563,81,MALUKU,1945650,"16,05",PERSEN,2024,3.598.885.510,133289122 ,3000450156 
"6,46",564,82,MALUKU UTARA,1355620,"6,32",PERSEN,2024,9.434.748.596,177000000 ,3567421896 
"20,49",565,91,PAPUA BARAT,1205820,"21,66",PERSEN,2024,1.645.827.499,0 ,1320700010 
"26,03",567,94,PAPUA,4542580,"17,26",PERSEN,2024,17.363.094.519,177000000 ,10496340846 
